movie,title,year,runtime,directors,actors
http://www.wikidata.org/entity/Q19689203,The BFG,2016,115,Steven Spielberg,"Bill Hader, Rebecca Hall, Mark Rylance, Jemaine Clement, Adam Godley, Penelope Wilton, Matt Frewer, Michael Adamthwaite, Rafe Spall, Gabrielle Rose, Marilyn Norry, Daniel Bacon, Haig Sutherland, Jonathan Holmes, Ruby Barnhill, Andy Thompson, Ólafur Darri Ólafsson, Denise Jones, Anthony Ingram, Chris Shields, John Emmet Tracy, William Samples, Geoffrey Wade, Chris Gibbs, Paul Moniz de Sa, Callum Seagram Airlie, Shauna Hansen, Paul Stuart Barnhill, Lucia Ryan, Julia Elizabeth Torrance, Cal Davis, Kyle Maloney, Michael Mcleod, David Orr, Zachary Read, David Glover, Joshua Callagan, Todd Biffard"
http://www.wikidata.org/entity/Q19757544,Spark,2016,90,Aaron Woodley,"Patrick Stewart, Hilary Swank, Susan Sarandon, Jessica Biel, Jace Norman"
http://www.wikidata.org/entity/Q18816889,Assassin's Creed,2016,115,Justin Kurzel,"Marion Cotillard, Michael Fassbender, Jeremy Irons, Brendan Gleeson, Ariane Labed, Essie Davis, Charlotte Rampling, Khalid Abdalla, Michael K. Williams, Denis Ménochet, Carlos Bardem, Matias Varela, Bruce Johnson, Hovik Keuchkerian, Callum Turner, Javier Gutiérrez, Brian Gleeson, Coco König"
http://www.wikidata.org/entity/Q23780914,Avengers: Infinity War,2018,149,"Joe Russo, Anthony Russo","Scarlett Johansson, Josh Brolin, Gwyneth Paltrow, Mark Ruffalo, Chris Hemsworth, Samuel L. Jackson, Dave Bautista, William Hurt, Chris Evans, Stan Lee, Robert Downey Jr., Benicio del Toro, Cobie Smulders, Karen Gillan, Elizabeth Olsen, Paul Bettany, Benedict Cumberbatch, Zoe Saldaña, Idris Elba, Tom Hiddleston, Chris Pratt, Peter Dinklage, Sebastian Stan, Anthony Mackie, Sean Gunn, Danai Gurira, Don Cheadle, Pom Klementieff, Benedict Wong, Robert Pralgo, Aaron Lazar, Florence Kasumba, Tom Holland, Stephen McFeely, Monique Ganderton, Tom Vaughan-Lawlor, Carrie Coon, Tiffany Espensen, Chadwick Boseman, Ross Marquand, Terry Notary, Michael James Shaw, Isabella Amara, Jacob Batalon, Letitia Wright, Ameenah Kaplan, Ethan Dizon, Ariana Greenblatt, Olaniyan Thurmon, Matthew Zuk, Laura Miller, Blair Jasin, Michael Anthony Rogers, Winston Duke"
http://www.wikidata.org/entity/Q23781129,Captain Marvel,2019,124,"Anna Boden, Ryan Fleck","Brie Larson, Scarlett Johansson, Mark Ruffalo, Clark Gregg, Samuel L. Jackson, Chris Evans, Annette Bening, Stan Lee, Patrick Gallagher, Jude Law, Djimon Hounsou, Lee Pace, Kenneth Mitchell, Ben Mendelsohn, James Morrison, Don Cheadle, Robert Kazinsky, Vik Sahay, Colin Ford, Gemma Chan, Kelly Sue DeConnick, Matthew Maher, Nelson Franklin, Rune Temte, Duane Henry, Ana Ayora, Chuku Modu, Algenis Perez Soto, Mckenna Grace, Sharon Blynn, Lashana Lynch, Patrick Brennan, Emily Ozrey, Abigaille Ozrey, Gil De St. Jeor, Matthew Bellows, Richard Zeringue, Barry Curtis, Stanley Wong, Auden L. Ophuls, Harriet L. Ophuls, Matthew 'Spider' Kimmel, Stephen 'Cajun' Del Bagno, Stephen A. Chang, Akira Akbar, Azari Akbar, Mark Daugherty, London Fuller, Marilyn Brett, Diana Toshiko, Lyonetta Flowers, Rufus Flowers, Reggie, Gonzo, Archie, Rizzo, Pete Ploszek"
http://www.wikidata.org/entity/Q19569225,King Arthur: Legend of the Sword,2017,127,Guy Ritchie,"Eric Bana, David Beckham, Jude Law, Astrid Berges-Frisbey, Aidan Gillen, Katie McGrath, Djimon Hounsou, Freddie Fox, Charlie Hunnam, Annabelle Wallis, Poppy Delevingne, Mikael Persbrandt, Lorraine Bruce, Michael McElhatton, Neil Maskell, Geoff Bell, Peter Guinness, Hermione Corfield, Georgina Campbell, Peter Ferdinando, Tom Wu, Craig McGinlay, Eline Powell, Millie Brady, Kingsley Ben-Adir"
http://www.wikidata.org/entity/Q23562553,The Flash,2023,144,Andy Muschietti,"Michael Shannon, Antje Traue, Michael Keaton, Jeremy Irons, Maribel Verdú, Ron Livingston, Ezra Miller, Ben Affleck, Kiersey Clemons, Sasha Calle"
http://www.wikidata.org/entity/Q19587336,The Great Wall,2017,103,Zhang Yimou,"Mackenzie Foy, Andy Lau, Willem Dafoe, Matt Damon, Numan Acar, Eddie Peng, Zhang Hanyu, Ryan Zheng, Lu Han, Pedro Pascal, Huang Xuan, Lin Gengxin, Jing Tian, Cheney Chen, Wang Junkai, Johnny Cicco"
http://www.wikidata.org/entity/Q23781155,Avengers: Endgame,2019,181,"Joe Russo, Anthony Russo","Gwyneth Paltrow, Natalie Portman, Mark Ruffalo, Jeremy Renner, Scarlett Johansson, Brie Larson, Josh Brolin, William Hurt, Robert Redford, Dave Bautista, Michelle Pfeiffer, Chris Hemsworth, Michael Douglas, Evangeline Lilly, Robert Downey Jr., Samuel L. Jackson, Zoe Saldaña, Marisa Tomei, Stan Lee, Angela Bassett, Chris Evans, Tilda Swinton, Linda Cardellini, Elizabeth Olsen, Cobie Smulders, Rene Russo, Karen Gillan, Tom Hiddleston, Hayley Atwell, Benedict Cumberbatch, Yvette Nicole Brown, Sebastian Stan, John Slattery, Sean Gunn, Jon Favreau, Ken Jeong, Anthony Mackie, Chris Pratt, Tessa Thompson, Ty Simpkins, Don Cheadle, Paul Rudd, Taika Waititi, Monique Ganderton, Patrick Gorman, Chadwick Boseman, Danai Gurira, Frank Grillo, Hiroyuki Sanada, James D'Arcy, Benedict Wong, Tom Holland, Ross Marquand, Terry Notary, Pom Klementieff, Robert Pralgo, Callan Mulvey, Tom Wisdom, Jim Starlin, Maximiliano Hernández, Tom Vaughan-Lawlor, Brian Schaeffer, Michael James Shaw, Aaron Lazar, Emma Fuhrmann, Ameenah Kaplan, Joe Russo, John Posey, Jimmy Ray Pickens, Jacob Batalon, Michael A. Cook, Winston Duke, Letitia Wright, Sam Hargrave, Erica Ribley, Hye Jin Jang, Russell Bobbitt, Jack Champion, James Lin, Olaniyan Thurmon, Jennifer Elmore, Jackson A. Dunn, Cade Woodward, Lexi Rabe, Ben Sakamoto, Ava Russo, Mike Lutz, Lia Mariella Russo, Julian Russo, Taylor Patterson, Agostino Rosalina, Lee Moore, Bazlo LeClair, Loen LeClair, Matthew Berry, Joy McAvoy, John Michael Morris, Jamie Wedel, Anthony G. Breed, Brent McGee"
http://www.wikidata.org/entity/Q23759268,The Mummy,2017,107,Alex Kurtzman,"Tom Cruise, Russell Crowe, Jake Johnson, Annabelle Wallis, Sofia Boutella, Javier Botet, Courtney B. Vance, Rez Kempton, Marwan Kenzari, Neil Maskell, Peter Lofsgard"
