movie,title,year,runtime,directors,actors
http://www.wikidata.org/entity/Q18205721,The Duel,2015,110,Kieran Darcy-Smith,"Liam Hemsworth, William Sadler, Woody Harrelson, William Hurt, Alice Braga, Jason Carter, Raphael Sbarge, José Zúñiga, John McConnell, Giles Matthey, J. D. Evermore, Benedict Samuel, Emory Cohen, Douglas M. Griffin"
http://www.wikidata.org/entity/Q18225084,The Hateful Eight,2015,168,Quentin Tarantino,"Quentin Tarantino, Samuel L. Jackson, Kurt Russell, Tim Roth, Zoë Bell, Channing Tatum, Jennifer Jason Leigh, Bruce Dern, Walton Goggins, Demián Bichir, James Parks, Lee Horsley, Dana Gourrier, Gene Jones"
http://www.wikidata.org/entity/Q18389586,The Dressmaker,2015,118,Jocelyn Moorhouse,"Liam Hemsworth, Hugo Weaving, Caroline Goodall, Kate Winslet, Judy Davis, Kerry Fox, Rebecca Gibney, Gyton Grantley, Barry Otto, Alison Whyte, Genevieve Lemon, Julia Blake, Sacha Horler, Sarah Snook, Shane Bourne, Shane Jacobson, James Mackay, Darcey Wilson, Mark Leonard Winter, Terry Norris, Tracy Harvey"
http://www.wikidata.org/entity/Q189330,The Dark Knight Rises,2022,164,Christopher Nolan,"Marion Cotillard, Anne Hathaway, Christian Bale, Morgan Freeman, Joey King, Liam Neeson, Josh Stewart, Michael Caine, Aaron Eckhart, Brett Cullen, Joseph Gordon-Levitt, Cillian Murphy, Gary Oldman, Tom Hardy, Wade Williams, Juno Temple, Nestor Carbonell, Tom Conti, Aidan Gillen, Jillian Armenante, Christopher Judge, Matthew Modine, Uri Gavriel, Daniel Sunjata, Rob Brown, Desmond Harrington, William Devane, Josh Pence, Robert Wisdom, Linus Roache, Brent Briscoe, David Gyasi, Thomas Lennon, Burn Gorman, Fredric Lehne, Tomas Arana, Ben Mendelsohn, Michael Papajohn, Reggie Lee, Alon Abutbul, Glen Powell, Jay Benedict, John Nolan, Thomas Tull, Ronnie Gene Blevins, Vincent van Ommen, Ian Bohen, James Harvey Ward"
http://www.wikidata.org/entity/Q18192306,Inferno,2016,121,Ron Howard,"Tom Hanks, Mirjam Novak, Felicity Jones, Ben Foster, Omar Sy, Sidse Babett Knudsen, Irrfan Khan, Vincent Riotta, Xavier Laurent, Fausto Maria Sciarappa, Francesca Inaudi, Philip Arditti, Mehmet Ergen, Paul Ritter, Attila Árpa, Lili Gesler, Vincenzo Tanassi, Ana Ularu, Björn Freiberg, Simone Mariani, Gábor Nagypál, Peter Linka, Fortunato Cerlino, Bálint Adorjáni, Maria Grazia Mandruzzato, Sardar Tagirovsky, Ida Darvish, Alessandro Fabrizi, Mario Acampa, Robin Mugnaini"
http://www.wikidata.org/entity/Q3127192,Happy New Year,2015,180,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Dino Morea, Anupam Kher, Jackie Shroff, Sonu Sood, Boman Irani"
http://www.wikidata.org/entity/Q18154625,Straight Outta Compton,2015,147,F. Gary Gray,"Dr. Dre, Eminem, 50 Cent, Tupac Shakur, Ice Cube, Paul Giamatti, F. Gary Gray, Dean Cameron, Corey Reynolds, Aldis Hodge, Simon Rhee, Orlando Brown, John Prosky, Tyron Woodley, Ina-Alice Kopp, Neil Brown, Jr., Tate Ellington, Deborah Lacey, Elena Goode, Slim Khezri, Darris Love, Matt Corboy, Alexandra Shipp, Natascha Hopkins, Kofi Siriboe, Larry Sullivan, Aeriél Miranda, Demetrius Grosse, O'Shea Jackson Jr., Rob Nagle, Jason Mitchell, LaKeith Stanfield, Allen Maldonado, Corey Hawkins, Keith Powers, Marc Abbink, Marcc Rose, Marlon Yates Jr., R. Marcos Taylor, Sheldon A. Smith, Mark Sherman, LaDell Preston, Cleavon McClendon, Rogelio Douglas, Jr., Steve Turner, Brandon Lafourche"
http://www.wikidata.org/entity/Q248354,Infernal Affairs III,2022,118,"Alan Mak, Andrew Lau","Andy Lau, Leon Lai, Shawn Yue, Kelly Chen, Edison Chen, Tony Leung, Eric Tsang, Anthony Wong, Sammi Cheng, Chen Daoming, Gordon Lam"
http://www.wikidata.org/entity/Q23767799,Patriots Day,2016,133,Peter Berg,"Barack Obama, Melissa Benoist, Mark Wahlberg, J. K. Simmons, Peter Berg, Nina Dobrev, Michelle Monaghan, Khandi Alexander, John Goodman, Michael Beach, Sean Avery, David Ortiz, Ken Casey, Vincent Curatola, Alex Wolff, Kevin Bacon, Erica McDermott, Jimmy O. Yang, Rachel Brosnahan, James Colby, Lana Condor, Themo Melikidze, Jake Picking, Christopher O'Shea, Cliff Moylan, Token, Elijah Guo, Max McGillivray"
http://www.wikidata.org/entity/Q23895091,A Conspiracy of Faith,2016,112,Hans Petter Moland,"Armin Rohde, Nikolaj Lie Kaas, Fares Fares, Pål Sverre Hagen, Laura Bro, Jakob Lohmann, Johannes Lassen, Lotte Andersen, Maria Rossing, Søren Pilmark, Jakob Oftebro, Benjamin Kitter, Divya Das, Michael Brostrup, Morten Kirkskov, Niels Weyde, Peder Holm Johansen, Signe A. Mannov, Johanne Louise Schmidt, Louis Sylvester Larsen, Roberta Reichhardt, Zeino Macauley, Jakob Højlev Jørgensen, Kenth Rosenberg, Jeanette Lindbæk, Jasper Møller Friis, Amanda Collin, Frederik Lykkegaard, Ulla Vejby, Betina Grove, Mercedes Claro Schelin"
http://www.wikidata.org/entity/Q1050105,"Torrente, the dumb arm of the law",2015,97,Santiago Segura,"Tony Leblanc, Javier Bardem, Chus Lampreave, El Gran Wyoming, Javier Cámara, Neus Asensi, Carlos Bardem, Fernando Trueba, Antonio de la Torre, Andreu Buenafuente, Santiago Segura, Mariola Fuentes, Jorge Sanz, Daniel Monzón, Jimmy Barnatán, Darío Paso, Gabino Diego, Nuria de la Fuente, Carlos Lucas, Sixto Cid, Espartaco Santoni, Máximo Pradera, Manuel Tallafé, Luis Cuenca García, Manuel Manquiña"
http://www.wikidata.org/entity/Q1582752,Torrente 2: Misión en Marbella,2015,99,Santiago Segura,"Tony Leblanc, Ariadna Gil, Chus Lampreave, Rosa Maria Sardà, Javier Cámara, Inés Sastre, José Luis López Vázquez, Antonio Resines, Alexis Valdés, Cristina Tárrega, Juan Luis Galiardo, Antonio de la Torre, Andreu Buenafuente, Santiago Segura, Santi Millán, José Luis Moreno Ruiz, Juanito Navarro Rubinos, Gabino Diego, Pablo Carbonell, Rosanna Walls, Máximo Valverde, José Mota, Paloma Cela, Manel Fuentes"
http://www.wikidata.org/entity/Q23780457,Kingsman: The Golden Circle,2017,141,Matthew Vaughn,"Julianne Moore, Elton John, Samuel L. Jackson, Jeff Bridges, Colin Firth, Emily Watson, Michael Gambon, Channing Tatum, Bruce Greenwood, Lena Endre, Keith Allen, Mark Strong, Björn Granath, Poppy Delevingne, Thomas Turgoose, Halle Berry, Hanna Alström, Pedro Pascal, Taron Egerton, Sophie Cookson, Edward Holcroft"
http://www.wikidata.org/entity/Q163872,The Dark Knight,2022,153,Christopher Nolan,"Christian Bale, Heath Ledger, Morgan Freeman, Michael Caine, Aaron Eckhart, Cillian Murphy, Gary Oldman, Maggie Gyllenhaal, William Fichtner, Eric Roberts, Michael Jai White, Beatrice Rosen, Anthony Michael Hall, Edison Chen, Nestor Carbonell, Sarah Jayne Dunn, Nicky Katt, Joshua Harto, Vincent Riotta, Monique Gabriela Curnen, Nathan Gamble, Chin Han, Colin McFarlane, Keith Szarabajka, Tommy Lister Jr., Richard Dillane, Ritchie Coster, David Dastmalchian, Melinda McGraw"
http://www.wikidata.org/entity/Q18170000,Wazir,2016,,Bejoy Nambiar,"Amitabh Bachchan, John Abraham, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh"
http://www.wikidata.org/entity/Q18386107,Heist,2015,92,Scott Mann,"Robert De Niro, Dave Bautista, Kate Bosworth, Gina Carano, Jeffrey Dean Morgan, Morris Chestnut, Summer Altice, Mark-Paul Gosselaar, D. B. Sweeney, Rosie Fellner"
http://www.wikidata.org/entity/Q18354827,Truth,2015,125,James Vanderbilt,"Cate Blanchett, Robert Redford, Dennis Quaid, Elisabeth Moss, Rachael Blake, Dermot Mulroney, Bruce Greenwood, Andrew McFarlane, Stacy Keach, Topher Grace, Lewis Fitz-Gerald, John Benjamin Hickey, David Lyons, Louis Herthum"
http://www.wikidata.org/entity/Q18388990,Lockdown,2015,90,Stephen Reynolds,"Lochlyn Munro, Jon Moxley, Roger Cross, Ty Olsson, Rebecca Marshall, Sharon Taylor"
http://www.wikidata.org/entity/Q23758755,T2 Trainspotting,2017,117,Danny Boyle,"Ewan McGregor, Jonny Lee Miller, Irvine Welsh, Robert Carlyle, Shirley Henderson, Kelly Macdonald, Ewen Bremner, Kevin McKidd, Gordon Kennedy, Atta Yaqub, Simon Weir, Anjela Nedyalkova"
http://www.wikidata.org/entity/Q5087306,Chasing Eagle Rock,2015,,Erick Avari,"Beth Behrs, Michael Welch, Lauren Tom, Mary-Margaret Humes, Erick Avari, Thomas Kopache, Derek Webster"
http://www.wikidata.org/entity/Q18151901,Masterminds,2016,93,Jared Hess,"Jason Sudeikis, Rhoda Griffis, Owen Wilson, Zach Galifianakis, Kristen Wiig, Kate McKinnon, Devin Ratray, Ken Marino, Mary Elizabeth Ellis, Leslie Jones, Jon Daly, Kerry Rossall"
http://www.wikidata.org/entity/Q18154528,The Stanford Prison Experiment,2015,122,Kyle Patrick Alvarez,"Nelsan Ellis, Thomas Mann, Johnny Simmons, Logan Miller, James Wolk, Ezra Miller, Moisés Arias, Olivia Thirlby, Michael Angarano, Gaius Charles, Callan McAuliffe, Matt Bennett, Keir Gilchrist, Nicholas Braun, Tye Sheridan, Billy Crudup, Benedict Samuel, James Frecheville, Miles Heizer, Jack Kilmer, Ki-hong Lee, Chris Sheffield, Jesse Carere"
http://www.wikidata.org/entity/Q18154069,Sinister 2,2015,97,Ciaran Foy,"James Ransone, Shannyn Sossamon, John Beasley, Tate Ellington, Juliet Rylance, Clare Foley, Lucas Jade Zumann, Michael Hall D'Addario"
http://www.wikidata.org/entity/Q2731368,Gabbar Is Back,2015,121,Radhakrishna Jagarlamudi,"Akshay Kumar, Shruti Haasan, Sonu Sood, Prakash Raj, Suman, Ishita Vyas, Govind Namdev, Nikitin Dheer"
http://www.wikidata.org/entity/Q23893043,King Cobra,2016,92,Justin Kelly,"Christian Slater, Alicia Silverstone, Molly Ringwald, James Franco, Keegan Allen, Garrett Clayton, Spencer Lofranco"
http://www.wikidata.org/entity/Q4185397,Buddy Cops,2016,102,Peter Chih,"Bosco Wong, Kate Tsui, Michael Tse"
