movie,title,year,runtime,directors,actors
http://www.wikidata.org/entity/Q14859564,The Vatican Tapes,2015,91,Mark Neveldine,"John Paul II, Alison Lohman, Daniel Bernhardt, Kathleen Robertson, Alexey Vorobyov, Djimon Hounsou, Shawn Crahan, Michael Peña, Dougray Scott, Michael Paré, John Patrick Amedori, Peter Andersson, Tehmina Sunny, Kent Shocknek, Cas Anvar, Bruno Gunn, Olivia Dudley"
http://www.wikidata.org/entity/Q182692,Apocalypse Now,2019,147,Francis Ford Coppola,"Marlon Brando, Charlie Sheen, Scott Glenn, Harrison Ford, Gian-Carlo Coppola, Robert Duvall, Aurore Clément, Francis Ford Coppola, G. D. Spradlin, Colleen Camp, Laurence Fishburne, Roman Coppola, Martin Sheen, R. Lee Ermey, Vittorio Storaro, Charles Robinson, Nick Nicholson, Tom Mason, Christian Marquand, Frank Villard, Frederic Forrest, Bill Graham, Sam Bottoms, Albert Hall, Evan A. Lottman, James Gaines, Joe Estevez, Jerry Ziesmer, Pierre Segui, Jack Thibeau, Cynthia Wood, Marc Coppola, Kerry Rossall, Damien Leake, James Keane"
http://www.wikidata.org/entity/Q16252844,Maggie,2015,95,Henry Hobson,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson, Jodie Moore, Laura Cayouette, Mattie Liptak, Dana Gourrier, Douglas M. Griffin, J. D. Evermore"
http://www.wikidata.org/entity/Q2588951,Horns,2015,120,Alexandre Aja,"Daniel Radcliffe, Kelli Garner, Heather Graham, David Morse, Juno Temple, Kathleen Quinlan, James Remar, Max Minghella, Laine MacNeil, Joe Anderson, Michael Adamthwaite, Alex Zahara, Marilyn Norry, Jay Brazeau, Panou, Sabrina Carpenter, Meredith McGeachie, Dylan Schmid, Christine Willes, John Stewart"
http://www.wikidata.org/entity/Q12049257,Resident Evil: The Final Chapter,2016,106,Paul W. S. Anderson,"Boris Kodjoe, Lee Joon-gi, Ashanti, Milla Jovovich, Oded Fehr, Ali Larter, Heike Makatsch, Kevin Durand, Eric Mabius, Mika Nakashima, Li Bingbing, James Purefoy, Jared Harris, Aryana Engineer, Linden Ashby, Iain Glen, Colin Salmon, Shawn Roberts, William Levy, Anna Bolt, Johann Urb, Pasquale Aleardi, Carsten Norgaard, Eoin Macken, Martin Crewes, Joseph May, Ruby Rose"
http://www.wikidata.org/entity/Q14948562,Into the Grizzly Maze,2015,90,David Hackl,"Scott Glenn, Thomas Jane, Michaela McManus, Billy Bob Thornton, Garry Chalk, Piper Perabo, Adam Beach, James Marsden"
http://www.wikidata.org/entity/Q19587078,Tale of Tales,2015,134,Matteo Garrone,"Salma Hayek, Vincent Cassel, Shirley Henderson, John C. Reilly, Jessie Cave, Alba Rohrwacher, Toby Jones, Kathryn Hunter, Catrinel Menghia, Massimo Ceccherini, Sandro Campagna, Renato Scarpa, Guillaume Delaunay, Hayley Carmichael, Giselda Volodi, Stacy Martin, Franco Pistoni, Giulio Beranek, Davide Campagna, Bebe Cave"
http://www.wikidata.org/entity/Q19363980,When the Bough Breaks,2016,107,Jon Cassar,"Theo Rossi, Regina Hall, Morris Chestnut, Glenn Morshower, Michael K. Williams, Romany Malco, Jaz Sinclair"
http://www.wikidata.org/entity/Q19559250,27,2016,90,Rob Zombie,"Malcolm McDowell, Ginger Lynn, Sheri Moon Zombie, Elizabeth Daily, Meg Foster, Daniel Roebuck, Tracey Walter, David Ury, Richard Brake, Judy Geeson, Lew Temple, Lawrence Hilton Jacobs, Jane Carr, Jeff Daniel Phillips, Torsten Voges, Pancho Moler, Kevin Jackson"
http://www.wikidata.org/entity/Q14522896,Stonehearst Asylum,2015,112,Brad Anderson,"Michael Caine, Kate Beckinsale, David Thewlis, Ben Kingsley, Sinéad Cusack, Brendan Gleeson, Jason Flemyng, Jim Sturgess, Christopher Fulford, Sophie Kennedy Clark"
