movie,title,year,runtime,directors,actors
http://www.wikidata.org/entity/Q849343,Dilwale Dulhania Le Jayenge,2023,245,Aditya Chopra,"Shah Rukh Khan, Kajol, Farida Jalal, Karan Johar, Anupam Kher, Anaita Shroff Adajania, Himani Shivpuri, Mandira Bedi, Amrish Puri, Satish Shah, Parmeet Sethi, Arjun Sablok"
http://www.wikidata.org/entity/Q832047,The Naked Gun: From the Files of Police Squad!,2024,85,David Zucker,"""Weird Al"" Yankovic, O. J. Simpson, Leslie Nielsen, Lawrence Tierney, Priscilla Presley, John Houseman, Dick Vitale, Ricardo Montalbán, Nancy Marchand, George Kennedy, Robert K. Weiss, Joe Grifasi, Jeannette Charles, Jim Palmer, Brinke Stevens, Conrad Palmisano, David Katz, Reggie Jackson, Nicholas Worth, Ed Williams, Joyce Brothers, Mark Holton, Mel Allen, Prince Hughes, Susan Beaubian, Raye Birk, Tony Brafa, Joe West"
http://www.wikidata.org/entity/Q88563268,Scream,2022,114,"Tyler Gillett, Matt Bettinelli-Olpin","Courteney Cox, Neve Campbell, David Arquette, Skeet Ulrich, Marley Shelton, Heather Matarazzo, Kyle Gallner, Jack Quaid, Roger L. Jackson, Dylan Minnette, Jenna Ortega, Jasmin Savoy Brown, Melissa Barrera, Sonia Ben Ammar, Mikey Madison, Mason Gooding, Chelsea Rebecca"
http://www.wikidata.org/entity/Q23055934,Trolls World,2020,95,Eric Dean Hordes,"Eva Habermann, Désirée Nick, Helmut Krauss, Cecilia Pillado, Jiří Lábus, Katy Karrenbauer, Lutz van der Horst, George Hardy"
http://www.wikidata.org/entity/Q27464988,Sky Sharks,2020,,Marc Fehse,"Eva Habermann, Dieter Laser, Michaela Schaffrath, Tobias Schenke, Thomas Morris, Amanda Bearse, Ralf Richter, Micaela Schäfer, Oliver Kalkofe, Tony Todd, Barbara Nedeljáková, Sugiura Asami, Cary-Hiroyuki Tagawa, Robert LaSardo, Lar Park Lincoln, Nick Dong-Sik, Detlef Bothe, Nina Vorbrodt, Peter Nottmeier, Dave Sheridan, Charles Rettinghaus, Naomi Grossman, Nick Principe, Lynn Lowry"
http://www.wikidata.org/entity/Q1309886,ABBA: The Movie,2023,96,Lasse Hallström,"Agnetha Fältskog, Anni-Frid Lyngstad, Benny Andersson, Björn Ulvaeus, Stig Anderson, Robert Hughes, Tom Oliver"
http://www.wikidata.org/entity/Q2095178,The Man Who Killed Don Quixote,2020,132,Terry Gilliam,"Olga Kurylenko, Rossy de Palma, Stellan Skarsgård, Jonathan Pryce, Sergi López, Adam Driver, Jordi Mollà, Óscar Jaenada, Patrik Karlson, Joana Ribeiro, Jason Watkins, Paloma Bloyd"
http://www.wikidata.org/entity/Q64069446,Coming 2 America,2021,110,Craig Brewer,"Eddie Murphy, Tracy Morgan, James Earl Jones, Wesley Snipes, Arsenio Hall, Shari Headley, Leslie Jones, Teyana Taylor, Jermaine Fowler, Kiki Layne"
http://www.wikidata.org/entity/Q12050995,Little Witch on a Broomstick,2021,90,Václav Vorlíček,"Naďa Konvalinková, Jan Hrušínský, Bronislav Poloczek, Josef Somr, Jiřina Bohdalová, Petra Černocká, Jiří Lábus, Petr Král, Petr Nárožný, Václav Vorlíček, Markéta Hrubešová, Jaroslav Kepka, Dalimil Klapka, Uršula Kluková, Jakub Saic, Jan Dolanský, Jaromír Dulava, Jaromír Meduna, Štěpán Krtička, Johana Krtičková, Libor Terš, Oldřich Vlach, Ota Jirák, Daniel Rous, Jaromír Nosek, Otmar Brancuzský, Petr Puha, Pavel Hasmuk, Ivo Halík, Dominik Rataj, Jan Kuželka, Eva Spoustová-Málková, Helena Nováčková, Matěj Kužel, Ladislav Cigánek, Alice Šnirychová-Dvořáková, Tomáš Racek, Petr Kocourek, Karel Gult, Veronika Renčová"
http://www.wikidata.org/entity/Q26714982,The Jesus Rolls,2020,85,John Turturro,"Susan Sarandon, Sônia Braga, Gloria Reuben, Audrey Tautou, John Turturro, Bobby Cannavale, Michael Badalucco, J. B. Smoove, Pete Davidson"
