movie,title,year,runtime,directors,actors
http://www.wikidata.org/entity/Q849343,Dilwale Dulhania Le Jayenge,2023,245,Aditya Chopra,"Shah Rukh Khan, Kajol, Farida Jalal, Amrish Puri, Karan Johar, Satish Shah, Anupam Kher, Mandira Bedi, Himani Shivpuri, Anaita Shroff Adajania, Arjun Sablok, Parmeet Sethi"
http://www.wikidata.org/entity/Q171861,The Artist,2020,100,Michel Hazanavicius,"Bérénice Bejo, Malcolm McDowell, John Goodman, Ed Lauter, Jean Dujardin, Beth Grant, James Cromwell, Andy Milder, Missi Pyle, Penelope Ann Miller, Basil Hoffman, Joel Murray, Ken Davitian, Alejandro Morales, Nina Siemaszko, Stuart Pankin, Robert Amico, Elizabeth Tulloch, Uggie, Sarah Scott, Sergio Kato, Jewel Shepard, Tim de Zarn, Vincent De Paul, Ben Kurland, Bob Glouberman, Ezra Buzzington, Jen Lilley, Stephen Mendillo, Lily Knight"
http://www.wikidata.org/entity/Q47457834,Love & War,2020,135,Kasper Torsting,"Tom Wlaschiha, Werner Wölbern, Sebastian Jessen, Thure Lindhardt, Ulrich Thomsen, Karel Dobrý, Tommaso Cacciapuoti, Veit Stübner, Rosalinde Mynster, Alexander Wüst, Hedi Kriegeskotte, Kristo Ferkic, Morten Holst, Natalie Madueño, Jakob Agermose Pedersen, Morten Brovn, Aksel Sass Homann"
http://www.wikidata.org/entity/Q55436290,Barbie,2023,114,Greta Gerwig,"John Cena, Ryan Gosling, America Ferrera, Michael Cera, Will Ferrell, Helen Mirren, Kate McKinnon, Rhea Perlman, Margot Robbie, Ray Fearon, Scott Evans, Will Merrick, Mac Brandt, Rob Brydon, Issa Rae, Alexandra Shipp, Carlos Jacott, Sharon Rooney, Hari Nef, Dua Lipa, Emerald Fennell, Kingsley Ben-Adir, Lucy Boynton, Ana Cruz Kayne, Benjamin Arthur, Ncuti Gatwa, Hannah Khalique-Brown, Ariana Greenblatt, Simu Liu, Nicola Coughlan, Emma Mackey, Connor Swindells, Asim Chaudhry, Jamie Demetriou, David Mumeni, Luke Mullen, Tom Stourton, Ritu Arya, Marisa Abela"
http://www.wikidata.org/entity/Q27555348,A Hidden Life,2020,173,Terrence Malick,"Jürgen Prochnow, Sophie Rois, Bruno Ganz, August Diehl, Ulrich Matthes, Martin Wuttke, Tobias Moretti, Johan Leysen, Michael Nyqvist, Karl Markovics, Matthias Schoenaerts, Johannes Krisch, Joel Basman, Maximilian Mauff, Franz Rogowski, Thomas Mraz, Valerie Pachner, Sarah Born"
http://www.wikidata.org/entity/Q97119189,Radhe Shyam,2022,,Radha Krishna Kumar,"Amitabh Bachchan, Jayaram, Jagapati Babu, Krishnam Raju, Kunaal Roy Kapur, Prabhas, Murali Sharma, Pooja Hegde, Sathyaraj, Bhagyashree Patwardhan, Sachin Khedekar, Anuradha Patel, Thalaivasal Vijay, Priyadarshi Pulikonda, Sathyan, Surya, Beena Banerjee, Riddhi Kumar"
http://www.wikidata.org/entity/Q59551547,The French Dispatch,2021,108,Wes Anderson,"Bill Murray, Christoph Waltz, Edward Norton, Owen Wilson, Tilda Swinton, Willem Dafoe, Adrien Brody, Benicio del Toro, Frances McDormand, Cécile de France, Saoirse Ronan, Henry Winkler, Lois Smith, Mathieu Amalric, Jarvis Cocker, Liev Schreiber, Léa Seydoux, Elisabeth Moss, Jason Schwartzman, Rupert Friend, Griffin Dunne, Fisher Stevens, Guillaume Gallienne, Jeffrey Wright, Denis Ménochet, Félix Moati, Bob Balaban, Wallace Wolodarsky, Hippolyte Girardot, Vincent Macaigne, Tony Revolori, Steve Park, Timothée Chalamet, Mohamed Belhadjine, Alex Lawther, Lyna Khoudri, Benjamin Lavernhe, Anjelica Bette Fellini"
http://www.wikidata.org/entity/Q106880756,He's All That,2021,91,Mark Waters,"Rachael Leigh Cook, Madison Pettis, Matthew Lillard, Myra Molloy, Kourtney Kardashian, Peyton Meyer, Andrew Matarazzo, Isabella Crovetti, Addison Rae, Tanner Buchanan"
http://www.wikidata.org/entity/Q96387452,Life in a Year,2020,107,Mitja Okorn,"RZA, Cuba Gooding Jr., Jaden Smith, Nia Long, Big Sean, Cara Delevingne, Chris D'Elia, Stony Blyden"
http://www.wikidata.org/entity/Q27660145,Snow White,2025,109,Marc Webb,"Gal Gadot, Martin Klebba, Andrew Burnap, Rachel Zegler, Ansu Kabia"
http://www.wikidata.org/entity/Q1217981,Bay of Angels,2020,90,Jacques Demy,"Jeanne Moreau, Henri Nassiet, Claude Mann, André Certes, Paul Guers, Nicole Chollet"
http://www.wikidata.org/entity/Q17004445,Bitter Harvest,2023,103,George Mendeluk,"Terence Stamp, Samantha Barks, Max Irons"
http://www.wikidata.org/entity/Q55730599,Are We in Love?,2020,,Kim Jung-kwon,"Sung Hoon, Kim So-eun"
http://www.wikidata.org/entity/Q107214994,Copilot,2021,,Anne Zohra Berrached,"Özay Fecht, Ceci Chuh, Canan Kir, Roger Azar, Jana Julia Roth"
http://www.wikidata.org/entity/Q97182477,Redeeming Love,2022,134,D.J. Caruso,"Nina Dobrev, Famke Janssen, Eric Dane, Logan Marshall-Green, Tanya van Graan, Willie Watson, Brandon Auret, Wu Ke-Xi, Jamie-Lee O'Donnell, Abigail Cowen"
http://www.wikidata.org/entity/Q107059453,The Cover,2021,81,Secundino de la Rosa Márquez,"Carmen Machi, Secundino de la Rosa Márquez, Àlex Monner, Susi Sánchez, Juan Diego, Marina Salas, María Hervás, Pepe Ocio, Lander Otaola, Carolina Yuste"
http://www.wikidata.org/entity/Q107089587,The Worst Person in the World,2021,121,Joachim Trier,"Silje Storstein, Anders Danielsen Lie, Hans Olav Brenner, Ine F. Jansen, Renate Reinsve, Ruby Dagnall, Herbert Nordrum"
http://www.wikidata.org/entity/Q24357415,The Little Mermaid,2023,135,Rob Marshall,"Javier Bardem, Melissa McCarthy, Art Malik, Lin-Manuel Miranda, Noma Dumezweni, Halle Bailey, Kajsa Mohammar, Lorena Andrea, Jessica Alexander, Martina Laird, Jonah Hauer-King, Simone Ashley"
http://www.wikidata.org/entity/Q27121159,Disenchanted,2022,118,Adam Shankman,"Idina Menzel, Jayma Mays, Patrick Dempsey, Yvette Nicole Brown, Amy Adams, Maya Rudolph, Oscar Nunez, James Marsden, Ann Harada, James Monroe Iglehart, Gabriella Baldacchino"
http://www.wikidata.org/entity/Q107027721,Bones and All,2022,130,Luca Guadagnino,"Chloë Sevigny, Jessica Harper, Mark Rylance, Michael Stuhlbarg, André Holland, David Gordon Green, Taylor Russell, Timothée Chalamet"
