movie,title,year,runtime,directors,actors
http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,2022,141,Alfonso Cuarón,"Daniel Radcliffe, Rupert Grint, Emma Watson, Fiona Shaw, Bonnie Wright, Alan Rickman, Tom Felton, Matthew Lewis, Emma Thompson, Warwick Davis, Gary Oldman, Pam Ferris, David Thewlis, Maggie Smith, Julie Christie, Michael Gambon, Miriam Margolyes, Geraldine Somerville, Dawn French, Julie Walters, Devon Murray, David Bradley, Richard Griffiths, Alfred Enoch, Adrian Rawlins, Harry Melling, Mark Williams, Jimmy Gardner, Lee Ingleby, Paul Whitehouse, James Phelps, Robbie Coltrane, Robert Hardy, Chris Rankin, Jamie Waylett, Joshua Herdman, Jim Tavaré, Lenny Henry, Edward Randell, Sitara Shah, Jennifer Smith, Oliver Phelps, Alex Crockford, Genevieve Gaunt"
http://www.wikidata.org/entity/Q23894629,Eternals,2021,156,Chloe Zhao,"Angelina Jolie, Salma Hayek, Haaz Sleiman, Kit Harington, Patton Oswalt, Ma Dong-seok, Harish Patel, Richard Madden, Harry Styles, Gemma Chan, Kumail Nanjiani, Barry Keoghan, Brian Tyree Henry, Zain Al Rafeea, Lauren Ridloff, Lucia Efstathiou, Lia McHugh"
http://www.wikidata.org/entity/Q28657013,Black Adam,2022,124,Jaume Collet-Serra,"Dwayne Johnson, Pierce Brosnan, Sarah Shahi, Henry Cavill, Viola Davis, Noah Centineo, Marwan Kenzari, Uli Latukefu, Aldis Hodge, Tang Nguyen, Mohammed Amer, Joseph Gatt, Quintessa Swindell, James Cusati-Moyer"
http://www.wikidata.org/entity/Q54894945,Boss Level,2020,104,Joe Carnahan,"Mel Gibson, Naomi Watts, Michelle Yeoh, Annabelle Wallis, Ken Jeong, Rob Gronkowski, Will Sasso, Selina Lo, Frank Grillo, Mathilde Ollivier, Meadow Williams"
http://www.wikidata.org/entity/Q56850065,Space Jam: A New Legacy,2021,115,Malcolm D. Lee,"Klay Thompson, LeBron James, Mike Myers, Ingrid Bergman, Bill Murray, Seth Green, Don Cheadle, Sarah Silverman, Anthony Davis, Sue Bird, Robert Wagner, Diana Taurasi, Damian Lillard, Steven Yeun, Wood Harris, Draymond Green, Nneka Ogwumike, Ernie Johnson Jr., Josh Helman, Sonequa Martin-Green, Michael B. Jordan, Gerald Johnson, Lil Rel Howery, A'ja Wilson, Xosha Roquemore, Cedric Joe, Stephen Kankole, Ceyair Wright, Harper Leigh Alexander, Khris Davis, Jalyn Hall"
http://www.wikidata.org/entity/Q29226331,Guardians of the Galaxy Vol. 3,2023,150,James Gunn,"Sylvester Stallone, Dave Bautista, Vin Diesel, Zoe Saldaña, Bradley Cooper, Karen Gillan, Michael Rosenbaum, Sean Gunn, Chris Pratt, Chuk Iwuji, Elizabeth Debicki, Pom Klementieff, Will Poulter, Nico Santos, Daniela Melchior, Asim Chaudhry, Maria Bakalova"
http://www.wikidata.org/entity/Q12302227,Artemis Fowl,2020,94,Kenneth Branagh,"Judi Dench, Colin Farrell, Nonso Anozie, Joshua McGuire, Conor MacNeill, Adrian Scarborough, Josh Gad, Hong Chau, Nikesh Patel, Tamara Smart, Vincenzo Nicoli, Lara McDonnell"
http://www.wikidata.org/entity/Q55178974,Jurassic World Dominion,2022,146,Colin Trevorrow,"Julianne Moore, Sam Neill, Jeff Goldblum, Jake Johnson, Vince Vaughn, Laura Dern, Téa Leoni, Bryce Dallas Howard, Dichen Lachman, BD Wong, Omar Sy, Chris Pratt, Campbell Scott, Scott Haze, Daniella Pineda, Enzo Squillino, Jr., Kristoffer Polaha, Dimitri Vegas, Varada Sethu, Isabella Sermon, Justice Smith, Caleb Hearon, Elva Trill, Glynis Davies, DeWanda Wise, Mamoudou Athie"
http://www.wikidata.org/entity/Q55605492,Finch,2021,115,Miguel Sapochnik,"Tom Hanks, Caleb Landry Jones"
http://www.wikidata.org/entity/Q57317060,The Suicide Squad,2021,132,James Gunn,"Joel Kinnaman, Viola Davis, John Cena, Alice Braga, Idris Elba, Jai Courtney, Peter Capaldi, Sean Gunn, Michael Rooker, Nathan Fillion, Taika Waititi, Juan Diego Botto, Margot Robbie, Joaquín Cosío, Jennifer Holland, Steve Agee, Pete Davidson, Storm Reid, Flula Borg, David Dastmalchian, Tinashe Kajese, Daniela Melchior"
http://www.wikidata.org/entity/Q55405369,Morbius,2022,104,Daniel Espinosa,"Michael Keaton, Tyrese Gibson, Matt Smith, Jared Leto, Jared Harris, Corey Johnson, Al Madrigal, Adria Arjona"
http://www.wikidata.org/entity/Q38685497,Free Guy,2021,115,Shawn Levy,"Ryan Reynolds, Channing Tatum, Alex Trebek, Britne Oldford, Taika Waititi, Jacksepticeye, Utkarsh Ambudkar, Eugene Nomura, Owen Burke, Jodie Comer, Ninja, DanTDM, Lil Rel Howery, Anabel Graetz, Jose Guns Alves, Lin Hultgren, Aaron W. Reed, Camille Kostek, Michael Tow, LazarBeam, Tait Fletcher, Joe Keery, Matthew Cardarople, Pokimane"
http://www.wikidata.org/entity/Q749988,The City of Lost Children,2023,112,"Marc Caro, Jean-Pierre Jeunet","Dominique Pinon, Ron Perlman, Cris Huerta, Marc Caro, Rufus, Judith Vittet, Mathieu Kassovitz, Jean-Claude Dreyfus, Daniel Emilfork, Cyril Aubin, Dominique Bettenfeld, Mapi Galán, Ticky Holgado, Alexis Pivot, Arthur Mazet, Babeth Étienne, Christophe Salengro, Frankie Pain, François Hadji-Lazaro, Geneviève Brunet, Jean-Philippe Labadie, Lorella Cravotta, Mireille Mossé, Nane Germon, Odile Mallet, Serge Merlin, Thierry Gibault, Raphaèle Bouchard, Hong-Mai Thomas, Éric Houzelot, Lotfi Yahya, Pierre Quentin-Faesch, Ham-Chau Luong, Daniel Adric, Guillaume Billod-Morel, Briac Barthélémy, Philippe Beautier, Léo Rubion, Michel Motu"
http://www.wikidata.org/entity/Q29906232,Sonic the Hedgehog,2020,99,Jeff Fowler,"Jim Carrey, Adam Pally, Garry Chalk, Neal McDonough, James Marsden, Michael Hogan, Tika Sumpter, Tom Butler, Frank C. Turner, Shannon Chan-Kent, Lee Majdoub, Natasha Rothwell, Melody Nosipho Niemann, Elfina Luk"
http://www.wikidata.org/entity/Q3604746,Avatar: The Way of Water,2022,192,James Cameron,"Sam Worthington, Sigourney Weaver, Zoe Saldaña, Kate Winslet, Giovanni Ribisi, Edie Falco, Joel David Moore, Stephen Lang, Cliff Curtis, CJ Jones, Jemaine Clement, Matt Gerald, Dileep Rao, Sean Anthony Moran, Brendan Cowell, Britain Dalton, Filip Geljo, Jack Champion, Duane Evans Jr., Jamie Flatters, Kevin Dorman, Alicia Vela-Bailey, Keston John, Bailey Bass, Trinity Jo-Li Bliss, Robert Okumu, Jennifer Stafford"
http://www.wikidata.org/entity/Q23894626,Black Widow,2021,133,Cate Shortland,"Scarlett Johansson, Rachel Weisz, William Hurt, Olga Kurylenko, Ray Winstone, David Harbour, O. T. Fagbenle, Florence Pugh, Ahmed Bakare, Joakim Skarli, Simona Brown-Zivkovska, Olivier Richters, Yuuki Luna"
http://www.wikidata.org/entity/Q56033171,Bloodshot,2020,109,David S. F. Wilson,"Vin Diesel, Guy Pearce, Eiza Gonzalez, Toby Kebbell, Sam Heughan"
http://www.wikidata.org/entity/Q56906869,Monster Hunter,2020,103,Paul W. S. Anderson,"Milla Jovovich, Meagan Good, Ron Perlman, T.I., Tony Jaa, MC Jin, Diego Boneta, Jannik Schümann, Hirona Yamazaki, Josh Helman, Nanda Costa"
http://www.wikidata.org/entity/Q28912376,The New Mutants,2020,94,Josh Boone,"Antonio Banderas, Marilyn Manson, Maisie Williams, Alice Braga, Adam Beach, Anya Taylor-Joy, Charlie Heaton, Henry Zaga, Blu Hunt, Happy Anderson"
http://www.wikidata.org/entity/Q13417189,Interstellar,2025,169,Christopher Nolan,"Mackenzie Foy, Anne Hathaway, Josh Stewart, Michael Caine, David Oyelowo, Matthew McConaughey, Matt Damon, Jessica Chastain, Brooke Smith, Ellen Burstyn, John Lithgow, Casey Affleck, William Devane, Leah Cairns, Topher Grace, Wes Bentley, Elyes Gabel, Bill Irwin, David Gyasi, Collette Wolfe, Jeff Hephner, Francis X. McCarthy, Timothée Chalamet"
http://www.wikidata.org/entity/Q57246586,Project Power,2020,111,"Ariel Schulman, Henry Joost","Jamie Foxx, Joseph Gordon-Levitt, Rodrigo Santoro, Dominique Fishback"
http://www.wikidata.org/entity/Q23562553,The Flash,2023,144,Andy Muschietti,"Michael Shannon, Antje Traue, Jeremy Irons, Michael Keaton, Maribel Verdú, Ben Affleck, Ezra Miller, Ron Livingston, Kiersey Clemons, Sasha Calle"
http://www.wikidata.org/entity/Q29580929,Avatar: Fire and Ash,2025,192,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Kate Winslet, Michelle Yeoh, David Thewlis, Giovanni Ribisi, Cliff Curtis, Joel David Moore, Stephen Lang, Edie Falco, Oona Castilla Chaplin, Matt Gerald, Jemaine Clement, Brendan Cowell, Dileep Rao, Britain Dalton, Filip Geljo, Jack Champion, Bailey Bass, Trinity Jo-Li Bliss"
http://www.wikidata.org/entity/Q56307503,Godzilla vs. Kong,2021,153,Adam Wingard,"Alexander Skarsgård, Rebecca Hall, Kyle Chandler, Demián Bichir, Shun Oguri, Eiza Gonzalez, Brian Tyree Henry, Julian Dennison, Millie Bobby Brown, Van Marten"
http://www.wikidata.org/entity/Q37447097,Chaos Walking,2021,109,Doug Liman,"Demián Bichir, Mads Mikkelsen, Kurt Sutter, Tom Holland, David Oyelowo, Nick Jonas, Daisy Ridley"
http://www.wikidata.org/entity/Q44506078,Cosmoball,2020,118,Dzhanik Fayziev,"Elena Yakovleva, Yevgeny Mironov, Mikhail Yefremov"
http://www.wikidata.org/entity/Q58094592,Mad Heidi,2022,92,"Sandro Klopfstein, Johannes Hartmann","Casper Van Dien, Pascal Ulli, David Schofield, Max Rüdlinger, Almar G. Sato, Andrea Fischer-Schulthess, Rebecca Dyson-Smith, Alice Lucy, Katja Kolm"
http://www.wikidata.org/entity/Q55655546,Invasion,2020,129,Fyodor Bondarchuk,"Oleg Menshikov, Alexander Petrov, Rinal Möxämmätef, Irina Starshenbaum"
