title,year,runtime,directors,actors,genre
Harry Potter and the Goblet of Fire,2022,151.0,Mike Newell,"Rupert Grint, Ralph Fiennes, Robert Pattinson, Emma Watson, Daniel Radcliffe, Bonnie Wright, Gary Oldman, Maggie Smith, Alan Rickman, Tom Felton, Katie Leung, Matthew Lewis, Warwick Davis, Jason Isaacs, David Tennant, Brendan Gleeson, Michael Gambon, Clémence Poésy, Geraldine Somerville, Afshan Azad, Alfred Enoch, Shefali Chowdhury, William Melling, Angelica Mandy, Jonny Greenwood, Shirley Henderson, Frances de la Tour, Miranda Richardson, Robbie Coltrane, Mark Williams, Jarvis Cocker, Jamie Waylett, Devon Murray, David Bradley, Roger Lloyd-Pack, Robert Wilfort, Robert Hardy, Sheila Allen, Margery Mason, Natalie Hallam, Su Elliot, Eric Sykes, Joshua Herdman, James Phelps, Predrag Bjelac, Philip Selway, Adrian Rawlins, Stanislav Ianevski, Tiana Benjamin, Jeff Rawle, Louis Doyle, Ian Whyte, Alex Palmer, Sarah Harrison, Tolga Safer, Richard Rosson, Steve Mackey, Steven Claydon, Oliver Phelps, Anne Lacey, David Sterne, Funda Önal, Henry Lloyd-Hughes",adventure
Harry Potter and the Prisoner of Azkaban,2022,141.0,Alfonso Cuarón,"Rupert Grint, Emma Watson, Daniel Radcliffe, Fiona Shaw, Dawn French, Bonnie Wright, Gary Oldman, Alfred Enoch, Maggie Smith, Alan Rickman, Tom Felton, Robbie Coltrane, Matthew Lewis, Emma Thompson, Richard Griffiths, Devon Murray, Warwick Davis, Adrian Rawlins, Robert Hardy, Joshua Herdman, Jamie Waylett, Chris Rankin, Harry Melling, Mark Williams, David Bradley, Paul Whitehouse, Julie Christie, Michael Gambon, Pam Ferris, Geraldine Somerville, James Phelps, David Thewlis, Julie Walters, Jimmy Gardner, Lee Ingleby, Jim Tavaré, Edward Randell, Genevieve Gaunt, Lenny Henry, Miriam Margolyes, Jennifer Smith, Sitara Shah, Oliver Phelps, Alex Crockford",adventure
Gladiator,2023,155.0,Ridley Scott,"Ralf Moeller, Richard Harris, Russell Crowe, Joaquin Phoenix, Tommy Flanagan, Derek Jacobi, Connie Nielsen, Djimon Hounsou, Oliver Reed, Omid Djalili, David Hemmings, Giannina Facio, Giorgio Cantarini, Tomas Arana, Sven-Ole Thorsen, David Bailie, David Schofield, Spencer Treat Clark, Allan Corduner, Tony Curran, John Shrapnel, John Quinn, Adam Levy",adventure
Apocalypse Now,2019,147.0,Francis Ford Coppola,"Marlon Brando, Francis Ford Coppola, Harrison Ford, Charlie Sheen, Scott Glenn, Martin Sheen, Gian-Carlo Coppola, Robert Duvall, Colleen Camp, Aurore Clément, G. D. Spradlin, Laurence Fishburne, Roman Coppola, R. Lee Ermey, Vittorio Storaro, Charles Robinson, Evan A. Lottman, James Gaines, Frederic Forrest, Bill Graham, Tom Mason, Christian Marquand, Nick Nicholson, Joe Estevez, Pierre Segui, Sam Bottoms, Albert Hall, Jack Thibeau, Frank Villard, James Keane, Kerry Rossall, Cynthia Wood, Marc Coppola, Jerry Ziesmer, Damien Leake",adventure
The Flash,2023,144.0,Andy Muschietti,"Michael Keaton, Antje Traue, Michael Shannon, Jeremy Irons, Maribel Verdú, Ben Affleck, Ron Livingston, Ezra Miller, Kiersey Clemons, Sasha Calle",adventure
King Arthur: Legend of the Sword,2017,127.0,Guy Ritchie,"Eric Bana, David Beckham, Jude Law, Astrid Berges-Frisbey, Djimon Hounsou, Annabelle Wallis, Katie McGrath, Freddie Fox, Charlie Hunnam, Aidan Gillen, Mikael Persbrandt, Geoff Bell, Poppy Delevingne, Neil Maskell, Peter Guinness, Kingsley Ben-Adir, Craig McGinlay, Eline Powell, Millie Brady, Hermione Corfield, Peter Ferdinando, Tom Wu, Lorraine Bruce, Michael McElhatton, Georgina Campbell",adventure
The Mummy,2017,107.0,Alex Kurtzman,"Tom Cruise, Jake Johnson, Russell Crowe, Annabelle Wallis, Sofia Boutella, Courtney B. Vance, Javier Botet, Rez Kempton, Marwan Kenzari, Neil Maskell, Peter Lofsgard",adventure
Avengers: Infinity War,2018,149.0,"Anthony Russo, Joe Russo","Gwyneth Paltrow, Scarlett Johansson, Josh Brolin, William Hurt, Mark Ruffalo, Dave Bautista, Chris Hemsworth, Samuel L. Jackson, Karen Gillan, Elizabeth Olsen, Zoe Saldaña, Paul Bettany, Robert Downey Jr., Chris Evans, Benicio del Toro, Cobie Smulders, Tom Hiddleston, Stan Lee, Peter Dinklage, Benedict Cumberbatch, Don Cheadle, Sean Gunn, Sebastian Stan, Idris Elba, Danai Gurira, Chris Pratt, Chadwick Boseman, Anthony Mackie, Pom Klementieff, Benedict Wong, Robert Pralgo, Aaron Lazar, Florence Kasumba, Tom Holland, Monique Ganderton, Tom Vaughan-Lawlor, Carrie Coon, Ross Marquand, Terry Notary, Tiffany Espensen, Ethan Dizon, Ariana Greenblatt, Stephen McFeely, Ameenah Kaplan, Olaniyan Thurmon, Matthew Zuk, Laura Miller, Blair Jasin, Michael Anthony Rogers, Winston Duke, Letitia Wright, Michael James Shaw, Isabella Amara, Jacob Batalon",adventure
Captain Marvel,2019,124.0,"Anna Boden, Ryan Fleck","Brie Larson, Scarlett Johansson, Clark Gregg, Mark Ruffalo, Samuel L. Jackson, Patrick Gallagher, Jude Law, Chris Evans, Annette Bening, Stan Lee, Don Cheadle, James Morrison, Lee Pace, Djimon Hounsou, Kenneth Mitchell, Ben Mendelsohn, Vik Sahay, Colin Ford, Kelly Sue DeConnick, Matthew Maher, Robert Kazinsky, Nelson Franklin, Algenis Perez Soto, Rune Temte, Mckenna Grace, Sharon Blynn, Gemma Chan, Patrick Brennan, Diana Toshiko, Emily Ozrey, Abigaille Ozrey, Gil De St. Jeor, Matthew Bellows, Richard Zeringue, Barry Curtis, Stanley Wong, Auden L. Ophuls, Harriet L. Ophuls, Matthew 'Spider' Kimmel, Stephen 'Cajun' Del Bagno, Lyonetta Flowers, Rufus Flowers, Reggie, Gonzo, Archie, Rizzo, Pete Ploszek, Duane Henry, Ana Ayora, Chuku Modu, Stephen A. Chang, Akira Akbar, Azari Akbar, Mark Daugherty, London Fuller, Marilyn Brett, Lashana Lynch",adventure
Black Panther,2018,134.0,Ryan Coogler,"Stan Lee, Forest Whitaker, Angela Bassett, Andy Serkis, Martin Freeman, Sebastian Stan, Daniel Kaluuya, Denzel Whitaker, Danai Gurira, Isaach de Bankolé, Florence Kasumba, Michael B. Jordan, Alex R. Hibbert, Atandwa Kani, Bambadjan Bamba, Lupita Nyong'o, Chadwick Boseman, John Kani, Lucy Hockings, Sterling K. Brown, Danny Sapani, Sydelle Noel, Seth Carr, Shaunette Renée Wilson, Janeshia Adams-Ginyard, David S. Lee, Jénel Stevens, Zola Williams, Ashton Tyler, Christine Hollingsworth, Roland Kilumbu, Jermaine Holt, Dominique Elijah Smith, Jalil Jay Lynch, Vaughndio Forbes, Nabiyah Be, Connie Chiume, Dorothy Steel, Marija Juliette Abney, Maria Hippolyte, Marie Mouroum, Winston Duke, Letitia Wright, Sope Aluko, Sasha Morfaw, Alexis Louder, Francesca Faridany, Mark Ashworth, Jeremy Sample, Chad Crumley, Alexis Rhee, Danny Chung, Liz Elkins Newcomer, Tony Sears, Alex Riley Hughes, Clifford Gay, Shamel Heath, De'Jon Watts, Abraham Clinkscales, Thabo Moropane, Zani Mogodi, Zenzi Williams",adventure
Assassin's Creed,2016,115.0,Justin Kurzel,"Marion Cotillard, Michael Fassbender, Jeremy Irons, Brendan Gleeson, Charlotte Rampling, Michael K. Williams, Carlos Bardem, Ariane Labed, Essie Davis, Denis Ménochet, Khalid Abdalla, Javier Gutiérrez, Matias Varela, Bruce Johnson, Hovik Keuchkerian, Callum Turner, Coco König, Brian Gleeson",adventure
Famous Five 4,2015,97.0,Mike Marzuk,"Mehmet Kurtuluş, Adnan Maral, Harald Glööckler, Samuel Finzi, Özgür Karadeniz, Justus Schlingensiepen, Quirin Oettl, Lucie Heinze, Neele Marie Nickel, Pasquale Aleardi, Valeria Eisenbart",adventure
The Great Wall,2016,103.0,Zhang Yimou,"Andy Lau, Mackenzie Foy, Matt Damon, Willem Dafoe, Eddie Peng, Zhang Hanyu, Huang Xuan, Lin Gengxin, Jing Tian, Cheney Chen, Ryan Zheng, Lu Han, Johnny Cicco, Pedro Pascal, Wang Junkai, Numan Acar",adventure
